user_id,book_id,rating
1,107661,5
1,193285,0
1,222248,5
1,222482,5
1,222497,5
1,222503,4
1,222504,5
1,222505,5
1,222511,5
1,222518,5
1,222519,5
1,222525,5
1,222546,4
1,222677,5
1,223462,5
1,223467,0
1,223695,0
1,223834,0
1,225521,4
1,225739,0
1,225986,4
1,226180,4
1,226233,4
1,226350,5
1,226777,0
1,227154,5
1,227402,3
1,227763,4
2,6143,5
2,7334,4
2,15899,3
2,20280,0
2,28133,0
2,30994,0
2,33155,0
2,33976,5
2,33979,0
2,34051,0
2,34064,0
2,34221,5
2,34416,4
2,37258,0
2,38893,0
2,39414,0
2,39495,0
2,40044,0
2,40709,0
2,50589,0
2,54799,5
2,55825,0
2,56099,0
2,58021,0
2,58054,0
2,58697,0
2,59036,0
2,60289,0
2,62669,3
2,63954,0
2,64118,0
2,64130,0
2,64148,0
2,64166,4
2,64271,0
2,72730,0
2,72832,0
2,73094,0
2,73996,5
2,74028,0
2,78805,0
2,78850,0
2,78899,0
2,79046,0
2,79057,0
2,79197,4
2,83119,0
2,83206,0
2,83278,0
2,83406,5
2,84419,0
2,84420,0
2,84696,0
2,84744,3
2,84951,0
2,85086,0
2,86436,3
2,88973,0
2,90100,0
2,90871,0
2,94747,0
2,98734,0
2,99022,0
2,99107,0
2,99673,0
2,111022,4
2,116452,0
2,116519,0
2,120904,0
2,121089,0
2,121504,0
2,130615,0
2,134453,0
2,144211,0
2,153192,3
2,156705,3
2,157566,0
2,193562,0
2,198044,3
3,2665,0
3,2785,0
3,4148,0
3,4614,0
3,4745,4
3,5037,0
3,5301,0
3,5894,0
3,6524,0
3,6649,5
3,6650,0
3,7315,4
3,7902,0
3,7903,0
3,7904,0
3,8027,0
3,8154,0
3,8218,0
3,8219,0
3,9049,0
3,9110,0
3,9378,0
3,10047,0
3,10685,4
3,10730,0
3,10975,3
3,16013,0
3,16241,0
3,16470,0
3,16770,0
3,18114,0
3,18344,0
3,18513,0
3,18515,0
3,18642,0
3,18729,0
3,18837,5
3,19029,0
3,24383,0
3,27943,0
3,27971,0
3,28074,0
3,29729,0
3,30729,5
3,30769,0
3,30882,0
3,30924,0
3,31039,0
3,31043,0
3,31097,0
3,31194,0
3,32481,0
3,33940,0
3,34198,0
3,34221,0
3,36014,0
3,36834,0
3,38056,0
3,38236,0
3,38242,0
3,38379,0
3,39062,0
3,39132,0
3,39963,0
3,40012,0
3,40091,0
3,41675,0
3,41690,0
3,41910,3
3,41937,0
3,42708,0
3,42786,0
3,42943,0
3,43160,0
3,45658,3
3,45889,0
3,46869,0
3,47234,0
3,47374,3
3,47375,0
3,47382,3
3,47395,0
3,47716,0
3,47743,0
3,47747,0
3,47775,0
3,47899,3
3,47900,0
3,47902,2
3,48950,0
3,50918,0
3,51357,0
3,51952,0
3,51976,0
3,51979,0
3,52020,0
3,52061,0
3,52062,0
3,52194,0
3,52205,0
3,52231,3
3,53269,4
3,53271,0
3,53274,3
3,53339,0
3,53343,0
3,53403,0
3,53411,0
3,53582,4
3,53583,0
3,53584,0
3,53586,5
3,53590,0
3,53664,0
3,53669,0
3,53671,0
3,53672,0
3,53712,4
3,55432,0
3,55452,0
3,55948,0
3,56002,0
3,56099,0
3,56139,0
3,56219,5
3,56478,0
3,56629,0
3,56673,0
3,56676,5
3,56677,5
3,57530,0
3,58464,4
3,59665,0
3,59666,5
3,60359,4
3,60549,4
3,60888,5
3,60890,5
3,60898,5
3,61035,4
3,61065,0
3,61093,4
3,61582,0
3,62845,0
3,62892,0
3,63224,0
3,66661,0
3,70602,5
3,71136,0
3,71495,0
3,72730,0
3,73568,0
3,74474,0
3,75655,5
3,75656,5
3,75861,5
3,75862,5
3,75881,5
3,76430,0
3,76637,0
3,77657,0
3,78179,0
3,79256,0
3,79499,0
3,79880,0
3,80612,0
3,80810,0
3,81091,0
3,81508,0
3,81819,0
3,82918,0
3,82965,3
3,83084,0
3,83136,0
3,83173,0
3,83353,0
3,83403,0
3,84262,0
3,84305,0
3,84682,0
3,85735,0
3,86399,0
3,88081,0
3,88401,0
3,89159,0
3,89539,0
3,89783,0
3,90256,4
3,90267,0
3,91445,0
3,92343,3
3,92524,0
3,92548,4
3,93371,0
3,93435,0
3,93537,5
3,93613,0
3,93616,4
3,93892,0
3,94569,0
3,94747,0
3,96989,0
3,98113,0
3,98185,0
3,98342,0
3,98763,0
3,99037,0
3,99105,0
3,100995,0
3,106412,0
3,106421,0
3,106941,4
3,107039,0
3,107404,0
3,107757,4
3,107776,0
3,108320,0
3,108738,0
3,108811,0
3,109945,0
3,110471,0
3,112072,0
3,112343,0
3,113847,5
3,113996,0
3,115066,0
3,115116,0
3,117991,0
3,118163,5
3,118164,4
3,118165,0
3,118166,0
3,118996,0
3,120615,0
3,120811,4
3,121413,0
3,122575,0
3,123229,0
3,123263,0
3,124786,0
3,125517,0
3,127676,0
3,129866,0
3,129912,0
3,130147,0
3,130320,0
3,131408,0
3,131753,0
3,131947,0
3,132723,4
3,132724,0
3,133001,4
3,134060,0
