user_id,electronic_id,rating
1,4962,5.0
1,6606,2.0
1,8071,5.0
1,10369,5.0
1,10488,5.0
1,14950,4.0
1,15818,5.0
1,19911,5.0
1,22014,5.0
1,25542,5.0
1,27831,4.0
1,29692,5.0
1,35236,5.0
1,37025,5.0
1,38766,5.0
1,41598,4.0
1,53693,5.0
1,54405,5.0
1,80930,5.0
1,119256,5.0
1,133522,5.0
2,3888,3.0
2,34469,4.0
2,49645,4.0
2,49920,3.0
2,50688,5.0
2,62611,2.0
2,68006,4.0
2,79035,3.0
2,79197,2.0
2,80193,4.0
2,102564,3.0
2,103906,2.0
2,103965,3.0
2,105476,4.0
2,105623,4.0
2,107334,3.0
2,109739,3.0
2,116551,2.0
2,123334,4.0
2,124525,4.0
2,130730,3.0
2,133078,4.0
3,1447,5.0
3,7096,5.0
3,16282,4.0
3,16833,5.0
3,19957,5.0
3,20297,5.0
3,28008,5.0
3,28790,5.0
3,30104,5.0
3,94644,5.0
4,12409,5.0
4,49795,4.0
4,55553,5.0
4,97576,5.0
4,99002,5.0
4,106066,5.0
4,117756,5.0
4,118263,5.0
4,119609,4.0
4,119877,5.0
4,128458,5.0
4,129018,5.0
4,132114,5.0
4,132399,1.0
5,6059,5.0
5,17537,5.0
5,37300,5.0
5,42943,5.0
5,52164,5.0
5,57694,5.0
5,67241,5.0
5,68134,5.0
5,75711,5.0
5,75902,5.0
5,101964,5.0
5,106893,5.0
5,116756,5.0
5,122228,3.0
5,130679,5.0
5,135304,5.0
6,1866,5.0
6,13645,5.0
6,15685,5.0
6,22769,5.0
6,24733,5.0
6,26204,5.0
6,26992,5.0
6,27156,5.0
6,35451,5.0
6,35560,5.0
6,36571,5.0
6,37403,5.0
6,38633,5.0
6,39551,4.0
6,40693,2.0
6,40743,4.0
6,43061,5.0
6,44040,1.0
6,44052,5.0
6,44624,5.0
6,45297,4.0
6,46151,5.0
6,50460,5.0
6,50964,5.0
6,51970,5.0
6,53120,5.0
6,57629,5.0
6,60663,5.0
6,79167,5.0
7,82227,5.0
7,84544,5.0
7,90730,5.0
7,96921,5.0
7,97576,5.0
7,100908,1.0
7,109075,5.0
7,115442,5.0
7,131353,5.0
7,134106,4.0
7,140730,5.0
8,18773,5.0
8,39629,4.0
8,43906,1.0
8,66394,5.0
8,76781,3.0
8,78467,1.0
8,78822,2.0
8,90170,5.0
8,94044,5.0
8,98043,5.0
8,98648,4.0
8,101936,5.0
8,101951,4.0
8,104783,5.0
8,105485,5.0
8,112096,1.0
8,113542,5.0
8,114265,5.0
8,115452,5.0
8,115825,5.0
8,116772,5.0
8,116802,5.0
8,117119,5.0
8,118016,5.0
8,119330,5.0
8,119524,5.0
8,121009,1.0
8,124039,5.0
8,127296,5.0
8,131256,5.0
8,135265,5.0
8,137959,5.0
8,137984,5.0
9,581,1.0
9,647,5.0
9,2384,1.0
9,4838,4.0
9,9095,1.0
9,9179,4.0
9,20093,4.0
9,36126,2.0
9,38991,1.0
9,44799,5.0
9,62940,5.0
9,63153,4.0
9,70863,4.0
9,75313,4.0
9,89545,1.0
9,89547,1.0
9,123588,1.0
10,104278,5.0
10,104278,5.0
10,109400,4.0
10,109400,4.0
10,114695,4.0
10,114695,4.0
10,118357,5.0
10,118357,5.0
10,119370,5.0
10,119370,5.0
10,122531,5.0
10,122531,5.0
10,123123,5.0
10,123123,5.0
10,126146,5.0
10,126146,5.0
10,129565,5.0
10,129565,5.0
11,22448,5.0
11,40730,5.0
11,47990,5.0
11,54389,5.0
11,57454,5.0
11,60375,5.0
11,62098,5.0
11,70892,5.0
11,72843,5.0
11,74617,5.0
11,77301,5.0
11,82225,5.0
11,85892,4.0
11,117240,5.0
11,128579,5.0
11,137403,5.0
11,140350,5.0
12,18097,5.0
12,18499,5.0
12,26391,5.0
12,34669,5.0
12,44522,5.0
12,49852,5.0
12,55700,5.0
12,56962,5.0
12,60262,5.0
12,62266,5.0
12,115606,1.0
12,138266,5.0
13,6067,4.0
13,8567,3.0
13,18524,4.0
13,19623,5.0
13,25281,4.0
13,25791,5.0
13,30045,4.0
13,33661,3.0
13,101521,5.0
13,108730,5.0
13,115594,5.0
13,120183,5.0
13,139629,4.0
14,3118,5.0
14,10221,5.0
14,12879,5.0
14,15132,5.0
14,17224,5.0
14,21513,5.0
14,23700,5.0
14,34161,2.0
14,35408,1.0
14,36123,5.0
14,48774,3.0
14,52415,5.0
14,57496,5.0
14,62648,5.0
14,62675,5.0
14,62945,5.0
14,75048,3.0
14,109177,2.0
14,110582,5.0
14,123273,5.0
14,134969,5.0
14,135586,4.0
15,16793,4.0
15,18353,4.0
15,20876,3.0
15,33176,4.0
15,33937,4.0
15,44820,4.0
15,61019,5.0
15,61675,5.0
15,63128,4.0
15,92469,5.0
15,101521,3.0
15,103457,4.0
15,138139,3.0
16,30758,5.0
16,35333,4.0
16,57524,5.0
16,64719,4.0
16,86084,5.0
16,90427,5.0
16,100881,5.0
16,111283,5.0
16,117225,4.0
16,135135,4.0
17,1217,5.0
17,12770,5.0
17,16939,5.0
17,42821,5.0
17,43153,4.0
17,43864,4.0
17,59416,2.0
17,90034,5.0
17,90083,5.0
17,92897,5.0
17,96292,5.0
17,106384,5.0
17,108800,5.0
17,121446,5.0
17,122871,5.0
17,125125,5.0
17,126300,5.0
17,128774,5.0
17,129018,4.0
17,139725,5.0
17,140493,5.0
18,4973,5.0
18,5100,5.0
18,5185,5.0
18,9762,5.0
18,20026,5.0
18,21380,5.0
18,30416,5.0
18,32592,5.0
18,34498,5.0
18,35133,5.0
18,36171,5.0
18,50503,5.0
18,55086,5.0
18,59580,5.0
18,67425,5.0
18,80083,5.0
18,103166,4.0
18,135304,5.0
18,137532,5.0
19,6648,5.0
19,10142,4.0
19,25634,2.0
19,30136,4.0
19,61559,4.0
19,70364,1.0
19,87707,1.0
19,91829,4.0
19,92989,1.0
19,100375,3.0
19,104926,1.0
19,110989,1.0
19,116380,2.0
19,118629,1.0
19,119145,5.0
19,122912,5.0
19,126111,3.0
19,133663,3.0
19,137931,5.0
19,138245,1.0
19,140273,1.0
19,141387,4.0
20,8789,5.0
20,14681,5.0
20,16601,5.0
20,27213,5.0
20,31895,5.0
20,54495,5.0
20,74794,4.0
20,77468,5.0
20,84264,1.0
20,87198,5.0
20,109494,5.0
20,113037,5.0
20,122429,5.0
20,124457,5.0
20,126850,5.0
20,137432,1.0
21,2787,3.0
21,14711,1.0
21,24182,4.0
21,25901,5.0
21,29729,4.0
21,32249,3.0
21,41579,5.0
21,43833,5.0
21,50693,4.0
21,54343,5.0
21,54984,4.0
21,60017,1.0
21,60103,4.0
21,60663,4.0
21,63796,1.0
21,64874,5.0
21,70441,5.0
21,70636,4.0
21,72729,5.0
21,74738,5.0
21,79893,4.0
21,89219,5.0
21,93152,5.0
21,102043,4.0
21,103971,4.0
21,109158,5.0
21,110881,5.0
21,117686,5.0
21,128599,4.0
21,128599,5.0
21,128748,4.0
21,132119,5.0
21,134825,5.0
21,135293,4.0
21,138139,4.0
21,138865,4.0
21,139210,5.0
21,140916,4.0
22,758,4.0
22,821,5.0
22,2723,5.0
22,2857,4.0
22,4633,5.0
22,6211,2.0
22,6364,3.0
22,6854,3.0
22,9003,4.0
22,9866,5.0
22,10295,4.0
22,12844,5.0
22,13124,5.0
22,13211,4.0
22,13579,3.0
22,14673,4.0
22,15033,4.0
22,15379,5.0
22,17914,3.0
22,18129,4.0
22,18863,5.0
22,19217,4.0
22,20718,5.0
22,20786,5.0
22,20880,3.0
22,20917,3.0
22,21030,4.0
22,22095,5.0
22,22139,5.0
22,22620,4.0
22,23629,4.0
22,23726,4.0
22,23727,4.0
22,24263,4.0
22,24972,4.0
22,25401,4.0
22,26192,5.0
22,26589,4.0
22,26635,3.0
22,26992,5.0
22,27315,4.0
22,27452,4.0
22,27527,5.0
22,27587,2.0
22,28602,2.0
22,28655,5.0
22,28776,4.0
22,28943,5.0
22,29224,5.0
22,29955,4.0
22,30220,4.0
22,30245,4.0
22,30416,3.0
22,30998,3.0
22,32474,4.0
22,32816,5.0
22,33100,4.0
22,34278,4.0
22,37091,4.0
22,37754,5.0
22,39318,4.0
22,39617,4.0
22,39937,5.0
22,40011,5.0
22,40778,5.0
22,42227,4.0
22,42321,5.0
22,42748,5.0
22,44272,4.0
22,45926,4.0
22,48082,4.0
22,48104,4.0
22,48805,4.0
22,49739,5.0
22,50405,4.0
22,50682,4.0
22,54215,5.0
22,55102,4.0
22,56619,5.0
22,56746,5.0
22,57428,4.0
22,58060,2.0
22,58807,4.0
22,59345,5.0
22,59694,4.0
22,59897,4.0
22,60502,4.0
22,60865,3.0
22,61351,5.0
22,61704,4.0
22,62046,5.0
22,63466,4.0
22,68720,3.0
22,68899,3.0
22,69667,3.0
22,70589,5.0
22,70591,4.0
22,70648,4.0
22,70838,5.0
22,71668,5.0
22,71669,4.0
22,72364,5.0
22,72503,5.0
22,72715,2.0
22,72944,4.0
22,73458,4.0
22,74107,5.0
22,74886,5.0
22,74906,5.0
22,75482,4.0
22,75799,5.0
22,76408,5.0
22,77018,5.0
22,77426,5.0
22,77604,5.0
22,78209,5.0
22,79616,5.0
22,82099,5.0
22,83121,4.0
22,83959,4.0
22,87198,5.0
22,87462,5.0
22,91910,5.0
22,92833,4.0
22,93067,3.0
22,97102,5.0
22,98153,5.0
22,99117,5.0
22,99299,5.0
22,99438,4.0
22,99823,4.0
22,101158,5.0
22,101311,5.0
22,104742,5.0
22,106113,5.0
22,107679,4.0
22,115636,4.0
22,120168,5.0
22,121325,5.0
22,122572,5.0
22,126152,5.0
22,126508,5.0
22,127043,4.0
22,127556,5.0
22,132755,4.0
22,133674,5.0
22,137952,5.0
22,139330,5.0
22,140190,5.0
22,140803,4.0
23,19609,4.0
23,21514,3.0
23,29408,5.0
23,31803,2.0
23,40355,2.0
23,40706,4.0
23,40728,5.0
23,45339,5.0
23,52896,4.0
23,62599,4.0
23,64039,4.0
23,70813,5.0
23,71516,4.0
23,81993,5.0
23,83479,5.0
24,24283,5.0
24,30429,4.0
24,45272,4.0
24,80350,5.0
24,92398,5.0
24,97486,3.0
24,101186,2.0
24,109381,4.0
24,113284,4.0
24,114838,2.0
24,126558,5.0
24,137801,5.0
24,139797,5.0
25,1076,3.0
25,1327,5.0
25,2140,5.0
25,2141,4.0
25,2142,5.0
25,2174,5.0
25,2732,4.0
25,2875,5.0
25,3055,5.0
25,3352,4.0
25,5677,4.0
25,9784,5.0
25,11041,5.0
25,48418,5.0
25,79687,5.0
25,91489,5.0
25,92082,5.0
25,92141,5.0
25,98804,5.0
25,99445,5.0
25,106451,5.0
25,111398,1.0
25,117029,5.0
25,127531,5.0
25,128453,5.0
25,130540,5.0
